Test Accuracy = 0.6814552
Class,Count,Correct Predicted
5,790,548
36,440,422
13,146,94
25,92,62
37,617,447
22,21,14
24,20,13
32,812,448
14,1160,1054
11,170,111
26,63,9
40,41,20
2,24,7
34,204,141
7,7,5
4,112,84
8,64,29
27,33,22
17,32,20
41,123,103
33,28,12
38,9,2
1,18,2
30,61,20
12,41,6
21,18,0
3,46,18
15,15,3
35,35,3
28,94,29
16,29,13
10,34,6
23,26,1
9,19,9
29,42,13
20,25,1
31,40,21
6,18,3
0,24,14
39,18,3
18,10,5
19,14,3
Test Accuracy = 0.6814552
Class,Count,Correct Predicted
5,790,548
36,440,422
13,146,94
25,92,62
37,617,447
22,21,14
24,20,13
32,812,448
14,1160,1054
11,170,111
26,63,9
40,41,20
2,24,7
34,204,141
7,7,5
4,112,84
8,64,29
27,33,22
17,32,20
41,123,103
33,28,12
38,9,2
1,18,2
30,61,20
12,41,6
21,18,0
3,46,18
15,15,3
35,35,3
28,94,29
16,29,13
10,34,6
23,26,1
9,19,9
29,42,13
20,25,1
31,40,21
6,18,3
0,24,14
39,18,3
18,10,5
19,14,3
